39.186369444	125.667534250	53.9
39.186369444	125.667471685	53.9
39.186369444	125.667409121	53.9
39.186369444	125.667346556	53.9
39.186369444	125.667283991	53.9
39.186369444	125.667221426	53.9
39.186369444	125.667158862	53.5
39.186369444	125.667096297	53.0
39.186369444	125.667033732	52.6
39.186369444	125.666971168	52.1
39.186369444	125.666908603	51.7
39.186369444	125.666846038	51.2
39.186369444	125.666783473	50.8
39.186369444	125.666720909	50.3
39.186369444	125.666658344	49.8
39.186369444	125.666595779	48.7
39.186369444	125.666533214	47.6
39.186369444	125.666470650	46.5
39.186369444	125.666408085	45.4
39.186369444	125.666345520	44.3
39.186369444	125.666282956	43.2
39.186369444	125.666220391	42.0
39.186369444	125.666157826	40.9
39.186369444	125.666095261	39.8
39.186369444	125.666032697	38.6
39.186369444	125.665970132	37.5
39.186369444	125.665907567	36.4
39.186369444	125.665845003	35.2
39.186369444	125.665782438	34.3
39.186369444	125.665719873	33.4
39.186369444	125.665657308	32.5
39.186369444	125.665594744	31.6
39.186369444	125.665532179	30.8
39.186369444	125.665469614	30.4
39.186369444	125.665407049	29.9
39.186369444	125.665344485	29.5
39.186369444	125.665281920	29.0
39.186369444	125.665219355	28.8
39.186369444	125.665156791	28.6
39.186369444	125.665094226	28.3
39.186369444	125.665031661	28.1
39.186369444	125.664969096	28.0
39.186369444	125.664906532	28.0
39.186369444	125.664843967	28.0
39.186369444	125.664781402	28.0
39.186369444	125.664718838	28.0
39.186369444	125.664656273	28.5
39.186369444	125.664593708	28.9
39.186369444	125.664531143	29.3
39.186369444	125.664468579	29.8
39.186369444	125.664406014	30.1
39.186369444	125.664343449	30.3
39.186369444	125.664280884	30.5
39.186369444	125.664218320	30.7
39.186369444	125.664155755	30.9
39.186369444	125.664093190	31.1
39.186369444	125.664030626	31.3
39.186369444	125.663968061	31.5
39.186369444	125.663905496	31.7
39.186369444	125.663842931	31.7
39.186369444	125.663780367	31.8
39.186369444	125.663717802	31.8
39.186369444	125.663655237	31.8
39.186369444	125.663592673	31.9
39.186369444	125.663530108	32.2
39.186369444	125.663467543	32.4
39.186369444	125.663404978	32.7
39.186369444	125.663342414	32.9
39.186369444	125.663279849	33.0
39.186369444	125.663217284	33.0
39.186369444	125.663154719	33.0
39.186369444	125.663092155	33.1
39.186369444	125.663029590	33.1
39.186369444	125.662967025	33.0
39.186369444	125.662904461	33.0
39.186369444	125.662841896	33.0
39.186369444	125.662779331	33.0
39.186369444	125.662716766	32.6
39.186369444	125.662654202	32.1
39.186369444	125.662591637	31.7
39.186369444	125.662529072	31.2
39.186369444	125.662466507	30.9
39.186369444	125.662403943	30.7
39.186369444	125.662341378	30.4
39.186369444	125.662278813	30.2
39.186369444	125.662216249	30.0
39.186369444	125.662153684	29.8
39.186369444	125.662091119	29.5
39.186369444	125.662028554	29.3
39.186369444	125.661965990	29.1
39.186369444	125.661903425	29.0
39.186369444	125.661840860	29.0
39.186369444	125.661778296	29.0
39.186369444	125.661715731	29.0
39.186369444	125.661653166	29.0
39.186369444	125.661590601	28.7
39.186369444	125.661528037	28.5
39.186369444	125.661465472	28.3
